"","V1","V2"
"result.485",2001,0
"result.486",2001,0
"result.487",2001,0
"result.488",2001,0
"result.489",2001,0
"result.490",2001,0
"result.491",2001,0
"result.492",2001,0
"result.493",2001,0
"result.494",2001,0
"result.495",2001,0
"result.496",2001,0
"result.497",2001,0
"result.498",2001,0
"result.499",2001,0
"result.500",2001,0
"result.501",2001,0
"result.502",2001,0
"result.503",2001,0
"result.504",2001,0
"result.505",2001,0
"result.506",2001,0
"result.507",2001,0
"result.508",2001,0
"result.509",2001,0
"result.510",2001,0
"result.511",2001,0
"result.512",2001,0
"result.513",2001,0
"result.514",2001,0
"result.515",2001,0
"result.516",2001,0
"result.517",2001,0
"result.518",991,0.759578219502544
"result.519",1021,0.622658526391085
"result.520",2001,0
"result.521",2001,0
"result.522",2001,0
"result.523",2001,0
"result.524",2001,0
"result.525",2001,0
"result.526",2001,0
"result.527",171,0.299540074993512
"result.528",2001,0
"result.529",2001,0
"result.530",2001,0
"result.531",2001,0
"result.532",2001,0
"result.533",2001,0
"result.534",2001,0
"result.535",2001,0
"result.536",2001,0
"result.537",2001,0
"result.538",2001,0
"result.539",2001,0
"result.540",2001,0
"result.541",2001,0
"result.542",2001,0
"result.543",2001,0
"result.544",2001,0
"result.545",2001,0
"result.546",2001,0
"result.547",2001,0
"result.548",2001,0
"result.549",2001,0
"result.550",2001,0
"result.551",2001,0
"result.552",2001,0
"result.553",2001,0
"result.554",2001,0
"result.555",2001,0
"result.556",2001,0
"result.557",2001,0
"result.558",2001,0
"result.559",2001,0
"result.560",2001,0
"result.561",2001,0
"result.562",2001,0
"result.563",2001,0
"result.564",2001,0
"result.565",2001,0
"result.566",2001,0
"result.567",2001,0
"result.568",2001,0
"result.569",2001,0
"result.570",2001,0
"result.571",2001,0
"result.572",2001,0
"result.573",2001,0
"result.574",2001,0
"result.575",2001,0
"result.576",2001,0
"result.577",2001,0
"result.578",2001,0
"result.579",2001,0
"result.580",2001,0
"result.581",2001,0
"result.582",2001,0
"result.583",2001,0
"result.584",2001,0
"result.585",2001,0
"result.586",2001,0
"result.587",2001,0
"result.588",2001,0
"result.589",2001,0
"result.590",1873,0.782011649470832
"result.591",2001,0
"result.592",2001,0
"result.593",2001,0
"result.594",2001,0
"result.595",2001,0
"result.596",2001,0
"result.597",2001,0
"result.598",2001,0
"result.599",2001,0
"result.600",2001,0
"result.601",2001,0
"result.602",2001,0
"result.603",2001,0
"result.604",2001,0
"result.605",2001,0
"result.606",2001,0
"result.607",2001,0
"result.608",2001,0
"result.609",2001,0
"result.610",2001,0
"result.611",2001,0
"result.612",2001,0
"result.613",2001,0
"result.614",2001,0
"result.615",2001,0
"result.616",2001,0
"result.617",2001,0
"result.618",2001,0
"result.619",2001,0
"result.620",2001,0
"result.621",2001,0
"result.622",2001,0
"result.623",2001,0
"result.624",2001,0
"result.625",2001,0
"result.626",2001,0
"result.627",2001,0
"result.628",2001,0
"result.629",2001,0
"result.630",2001,0
"result.631",2001,0
"result.632",2001,0
"result.633",2001,0
"result.634",2001,0
"result.635",2001,0
"result.636",2001,0
"result.637",2001,0
"result.638",2001,0
"result.639",1007,0.453118080648363
"result.640",2001,0
"result.641",171,0.165670020278665
"result.642",2001,0
"result.643",2001,0
"result.644",2001,0
"result.645",2001,0
"result.646",2001,0
"result.647",1021,0.447775027130827
"result.648",2001,0
"result.649",2001,0
"result.650",2001,0
"result.651",2001,0
"result.652",2001,0
"result.653",2001,0
"result.654",2001,0
"result.655",2001,0
"result.656",2001,0
"result.657",2001,0
"result.658",2001,0
"result.659",2001,0
"result.660",2001,0
"result.661",2001,0
"result.662",991,0.346009822853981
"result.663",2001,0
"result.664",2001,0
"result.665",2001,0
"result.666",2001,0
"result.667",2001,0
"result.668",2001,0
"result.669",2001,0
"result.670",2001,0
"result.671",2001,0
"result.672",2001,0
"result.673",2001,0
"result.674",2001,0
"result.675",2001,0
"result.676",2001,0
"result.677",2001,0
"result.678",2001,0
"result.679",2001,0
"result.680",2001,0
"result.681",2001,0
"result.682",2001,0
"result.683",2001,0
"result.684",2001,0
"result.685",2001,0
"result.686",1668,0.744146108103838
"result.687",2001,0
"result.688",2001,0
"result.689",2001,0
"result.690",2001,0
"result.691",2001,0
"result.692",2001,0
"result.693",2001,0
"result.694",2001,0
"result.695",2001,0
"result.696",2001,0
"result.697",2001,0
"result.698",2001,0
"result.699",2001,0
"result.700",2001,0
"result.701",2001,0
"result.702",2001,0
"result.703",2001,0
"result.704",2001,0
"result.705",2001,0
"result.706",2001,0
"result.707",2001,0
"result.708",2001,0
"result.709",2001,0
"result.710",2001,0
"result.711",2001,0
"result.712",2001,0
"result.713",2001,0
"result.714",2001,0
"result.715",2001,0
"result.716",2001,0
"result.717",2001,0
"result.718",2001,0
"result.719",2001,0
"result.720",2001,0
"result.721",2001,0
"result.722",2001,0
"result.723",2001,0
"result.724",2001,0
"result.725",2001,0
"result.726",2001,0
"result.727",2001,0
"result.728",2001,0
"result.729",2001,0
"result.730",2001,0
"result.731",2001,0
"result.732",2001,0
"result.733",2001,0
"result.734",2001,0
"result.735",2001,0
"result.736",2001,0
"result.737",2001,0
"result.738",2001,0
"result.739",2001,0
"result.740",2001,0
"result.741",2001,0
"result.742",2001,0
"result.743",2001,0
"result.744",2001,0
"result.745",2001,0
"result.746",2001,0
"result.747",2001,0
"result.748",2001,0
"result.749",2001,0
"result.750",1003,0.679996419817602
"result.751",1021,0.443965327162196
"result.752",2001,0
"result.753",2001,0
"result.754",2001,0
"result.755",2001,0
"result.756",2001,0
"result.757",497,0.00547315026533113
"result.758",2001,0
"result.759",2001,0
"result.760",2001,0
"result.761",2001,0
"result.762",2001,0
"result.763",2001,0
"result.764",2001,0
"result.765",2001,0
"result.766",2001,0
"result.767",2001,0
"result.768",2001,0
"result.769",2001,0
"result.770",2001,0
"result.771",2001,0
"result.772",2001,0
"result.773",2001,0
"result.774",2001,0
"result.775",2001,0
"result.776",2001,0
"result.777",2001,0
"result.778",2001,0
"result.779",2001,0
"result.780",2001,0
"result.781",2001,0
"result.782",2001,0
"result.783",2001,0
"result.784",2001,0
"result.785",2001,0
"result.786",2001,0
"result.787",2001,0
"result.788",2001,0
